ID Comet,NÚMERO de Estación,NOMBRE,DIRECCIÓN,BARRIO,COMUNA,EMPLAZAMIENTO,LATITUD,LONGITUD
2,2,RETIRO I,Av. Dr. José María Ramos Mejía 1300,RETIRO,COMUNA 1,PLAZA,-34.592.424.135.701.100,-5.837.470.989.599.140
3,3,ADUANA,Moreno 4,MONSERRAT,COMUNA 1,VEREDA,-346.111,-583.682
4,4,PLAZA ROMA,Av. Corrientes 100,SAN NICOLAS,COMUNA 1,VEREDA,-3.460.299.498.843.600,58.368.832.321.694.600
5,5,PLAZA ITALIA,Av. Sarmiento 2601,PALERMO,COMUNA 14,VEREDA,-345.807,-584.204
6,6,PARQUE LEZAMA,Av. Martín Garcia 295,SAN TELMO,COMUNA 1,PLAZA,-346.283,-583.694
7,7,OBELISCO,Carlos Pellegrini 215,SAN NICOLAS,COMUNA 1,PLAZOLETA,-346.055,-583.808
8,8,CONGRESO,Virrey Cevallos 84,MONSERRAT,COMUNA 1,PLAZA,-346.101,-583.891
9,9,PARQUE LAS HERAS,Av. Cnel. Diaz 2300,PALERMO,COMUNA 14,PLAZA,-345.856,-584.078
12,12,PLAZA VICENTE LOPEZ,Parana 1307,RECOLETA,COMUNA 2,PLAZA,-345.928,-583.886
13,13,ONCE,Av. Pueyrredón 3,BALVANERA,COMUNA 3,PLAZA,-346.101,-58.406
14,14,PACÍFICO,Av. Int. Bullrich 550,PALERMO,COMUNA 14,VEREDA,-345.778,-584.253
17,17,PLAZA ALMAGRO,Bulnes 441,ALMAGRO,COMUNA 5,CALZADA,-346.064,-584.185
21,21,PARQUE PATRICIOS,Iguazu 201,PARQUE PATRICIOS,COMUNA 4,PLAZOLETA,-346.403,-584.065
22,22,ARENALES,Cerrito 1234,RETIRO,COMUNA 1,PLAZOLETA,-345.943,-583.828
23,23,SUIPACHA,Suipacha 691,SAN NICOLAS,COMUNA 1,VEREDA,-346.003,-583.796
24,24,ALSINA,Bernardo Irigoyen 150,MONSERRAT,COMUNA 1,PLAZOLETA,-346.107,-583.806
